ticker,company,date,open,high,low,close,volume
GSIT,GSI Technology Inc.,2024-10-04,3.87,4.3,3.57,3.8,639501
GSIT,GSI Technology Inc.,2024-10-07,3.8,3.9412,3.7122,3.81,244135
GSIT,GSI Technology Inc.,2024-10-08,3.85,3.85,3.3201,3.48,207668
GSIT,GSI Technology Inc.,2024-10-09,3.48,3.6194,3.46,3.52,68452
GSIT,GSI Technology Inc.,2024-10-10,3.43,3.5499,3.3,3.54,189469
GSIT,GSI Technology Inc.,2024-10-11,3.52,3.85,3.52,3.71,165685
GSIT,GSI Technology Inc.,2024-10-14,3.74,3.7629,3.56,3.61,62917
GSIT,GSI Technology Inc.,2024-10-15,3.6,3.85,3.6,3.8,180339
GSIT,GSI Technology Inc.,2024-10-16,3.85,3.99,3.56,3.95,241524
GSIT,GSI Technology Inc.,2024-10-17,4.0,4.09,3.52,3.55,342369
GSIT,GSI Technology Inc.,2024-10-18,3.7,3.8399,3.52,3.82,212520
GSIT,GSI Technology Inc.,2024-10-21,3.83,3.97,3.52,3.6,296685
GSIT,GSI Technology Inc.,2024-10-22,3.59,3.6,3.3,3.54,124437
GSIT,GSI Technology Inc.,2024-10-23,3.5,3.51,3.31,3.34,101590
GSIT,GSI Technology Inc.,2024-10-24,3.34,3.51,3.16,3.43,188553
GSIT,GSI Technology Inc.,2024-10-25,3.37,3.52,3.17,3.39,232713
GSIT,GSI Technology Inc.,2024-10-28,3.41,3.79,3.351,3.69,238819
GSIT,GSI Technology Inc.,2024-10-29,3.64,3.7699,3.37,3.48,169926
GSIT,GSI Technology Inc.,2024-10-30,3.37,3.47,3.15,3.21,305647
GSIT,GSI Technology Inc.,2024-10-31,3.21,3.2899,3.05,3.18,202661
GSIT,GSI Technology Inc.,2024-11-01,3.22,3.25,3.0901,3.15,109074
GSIT,GSI Technology Inc.,2024-11-04,3.15,3.17,3.03,3.04,136900
GSIT,GSI Technology Inc.,2024-11-05,3.0,3.14,3.0,3.07,94575
GSIT,GSI Technology Inc.,2024-11-06,3.19,3.2221,3.06,3.11,110971
GSIT,GSI Technology Inc.,2024-11-07,3.12,3.19,3.06,3.06,91525
GSIT,GSI Technology Inc.,2024-11-08,3.01,3.1799,3.01,3.14,107521
GSIT,GSI Technology Inc.,2024-11-11,3.18,3.2,3.0,3.14,163996
GSIT,GSI Technology Inc.,2024-11-12,3.12,3.14,2.99,3.03,165826
GSIT,GSI Technology Inc.,2024-11-13,3.04,3.07,2.7,2.78,360667
GSIT,GSI Technology Inc.,2024-11-14,2.75,2.76,2.6,2.645,110239
GSIT,GSI Technology Inc.,2024-11-15,2.64,2.64,2.45,2.51,146928
GSIT,GSI Technology Inc.,2024-11-18,2.51,2.5956,2.5,2.56,126096
GSIT,GSI Technology Inc.,2024-11-19,2.6,2.74,2.57,2.7,127425
GSIT,GSI Technology Inc.,2024-11-20,2.75,2.835,2.678,2.74,145440
GSIT,GSI Technology Inc.,2024-11-21,2.76,3.0,2.6989,2.95,131487
GSIT,GSI Technology Inc.,2024-11-22,3.0,3.29,2.97,3.19,282478
GSIT,GSI Technology Inc.,2024-11-25,3.25,3.29,3.09,3.1,156498
GSIT,GSI Technology Inc.,2024-11-26,3.1,3.12,2.9852,3.05,99847
GSIT,GSI Technology Inc.,2024-11-27,3.09,3.19,2.97,3.18,136180
GSIT,GSI Technology Inc.,2024-11-29,3.2,3.38,3.2,3.3,101643
GSIT,GSI Technology Inc.,2024-12-02,3.31,3.31,3.16,3.2,110408
GSIT,GSI Technology Inc.,2024-12-03,3.2,3.215,2.9601,3.01,123385
GSIT,GSI Technology Inc.,2024-12-04,2.97,3.04,2.835,2.86,155980
GSIT,GSI Technology Inc.,2024-12-05,2.86,3.0,2.85,2.98,117473
GSIT,GSI Technology Inc.,2024-12-06,2.99,3.03,2.91,3.0,136239
GSIT,GSI Technology Inc.,2024-12-09,3.03,3.1221,2.88,2.93,149849
GSIT,GSI Technology Inc.,2024-12-10,2.93,2.93,2.71,2.84,120753
GSIT,GSI Technology Inc.,2024-12-11,2.81,2.842,2.68,2.75,118471
GSIT,GSI Technology Inc.,2024-12-12,2.72,2.78,2.681,2.72,99769
GSIT,GSI Technology Inc.,2024-12-13,2.69,2.72,2.5961,2.62,119061
GSIT,GSI Technology Inc.,2024-12-16,2.6,2.63,2.54,2.59,144698
GSIT,GSI Technology Inc.,2024-12-17,2.65,2.72,2.55,2.72,179986
GSIT,GSI Technology Inc.,2024-12-18,2.74,3.23,2.73,3.01,525674
GSIT,GSI Technology Inc.,2024-12-19,3.01,3.05,2.7087,2.73,159395
GSIT,GSI Technology Inc.,2024-12-20,2.75,2.94,2.73,2.77,131668
GSIT,GSI Technology Inc.,2024-12-23,2.88,2.9325,2.82,2.87,104210
GSIT,GSI Technology Inc.,2024-12-24,2.85,2.93,2.75,2.93,73839
GSIT,GSI Technology Inc.,2024-12-26,2.91,3.1603,2.91,3.15,187945
GSIT,GSI Technology Inc.,2024-12-27,3.05,3.14,2.96,3.05,99184
GSIT,GSI Technology Inc.,2024-12-30,3.05,3.2,2.93,3.11,206768
GSIT,GSI Technology Inc.,2024-12-31,3.07,3.15,2.92,3.03,134817
GSIT,GSI Technology Inc.,2025-01-02,3.0,3.29,2.9702,3.26,252292
GSIT,GSI Technology Inc.,2025-01-03,3.25,3.7,3.25,3.5,426062
GSIT,GSI Technology Inc.,2025-01-06,3.59,3.6,3.4236,3.48,223109
GSIT,GSI Technology Inc.,2025-01-07,3.48,3.54,3.3505,3.43,133947
GSIT,GSI Technology Inc.,2025-01-08,3.34,3.345,3.0,3.06,183905
GSIT,GSI Technology Inc.,2025-01-10,3.0,3.065,2.92,2.96,116263
GSIT,GSI Technology Inc.,2025-01-13,2.91,2.92,2.67,2.76,262494
GSIT,GSI Technology Inc.,2025-01-14,2.77,2.867,2.57,2.73,273836
GSIT,GSI Technology Inc.,2025-01-15,2.79,2.88,2.72,2.8,120881
GSIT,GSI Technology Inc.,2025-01-16,2.83,2.8472,2.6,2.75,252812
GSIT,GSI Technology Inc.,2025-01-17,2.99,4.9,2.9,3.95,87700984
GSIT,GSI Technology Inc.,2025-01-21,3.93,3.9582,3.44,3.52,3094969
GSIT,GSI Technology Inc.,2025-01-22,3.5,3.9,3.48,3.55,1226684
GSIT,GSI Technology Inc.,2025-01-23,3.5,3.67,3.36,3.64,469295
GSIT,GSI Technology Inc.,2025-01-24,3.68,3.68,3.16,3.21,716635
GSIT,GSI Technology Inc.,2025-01-27,3.12,3.19,2.824,2.86,760044
GSIT,GSI Technology Inc.,2025-01-28,2.9,2.99,2.82,2.91,319530
GSIT,GSI Technology Inc.,2025-01-29,2.97,2.97,2.755,2.81,296065
GSIT,GSI Technology Inc.,2025-01-30,2.9,3.02,2.76,2.92,626160
GSIT,GSI Technology Inc.,2025-01-31,2.86,2.9399,2.75,2.8,333178
GSIT,GSI Technology Inc.,2025-02-03,2.76,2.94,2.66,2.84,291712
GSIT,GSI Technology Inc.,2025-02-04,2.92,3.1,2.84,3.01,301032
GSIT,GSI Technology Inc.,2025-02-05,3.06,3.12,2.98,3.11,198689
GSIT,GSI Technology Inc.,2025-02-06,3.12,3.24,3.02,3.15,445888
GSIT,GSI Technology Inc.,2025-02-07,3.24,3.24,3.07,3.12,226276
GSIT,GSI Technology Inc.,2025-02-10,3.15,3.2,3.08,3.17,153777
GSIT,GSI Technology Inc.,2025-02-11,3.17,3.34,3.1,3.18,187212
GSIT,GSI Technology Inc.,2025-02-12,3.11,3.4,3.1097,3.33,298344
GSIT,GSI Technology Inc.,2025-02-13,3.41,3.45,3.27,3.41,251207
GSIT,GSI Technology Inc.,2025-02-14,3.45,3.575,3.3253,3.46,321158
GSIT,GSI Technology Inc.,2025-02-18,3.58,3.67,3.34,3.42,378785
GSIT,GSI Technology Inc.,2025-02-19,3.5,3.7395,3.4,3.66,372942
GSIT,GSI Technology Inc.,2025-02-20,3.65,3.68,3.48,3.65,125061
GSIT,GSI Technology Inc.,2025-02-21,3.65,3.7,3.381,3.39,239879
GSIT,GSI Technology Inc.,2025-02-24,3.36,3.366,3.14,3.14,194907
GSIT,GSI Technology Inc.,2025-02-25,3.15,3.15,2.92,2.99,306921
GSIT,GSI Technology Inc.,2025-02-26,3.01,3.1,2.96,3.01,104787
GSIT,GSI Technology Inc.,2025-02-27,3.02,3.1048,2.78,2.8,134386
GSIT,GSI Technology Inc.,2025-02-28,2.85,2.96,2.75,2.86,128364
GSIT,GSI Technology Inc.,2025-03-03,2.87,2.9,2.65,2.66,223558
GSIT,GSI Technology Inc.,2025-03-04,2.65,2.69,2.55,2.6,270021
GSIT,GSI Technology Inc.,2025-03-05,2.63,2.71,2.56,2.7,106230
GSIT,GSI Technology Inc.,2025-03-06,2.66,2.73,2.56,2.58,112131
GSIT,GSI Technology Inc.,2025-03-07,2.55,2.67,2.42,2.56,253200
GSIT,GSI Technology Inc.,2025-03-10,2.51,2.5295,2.3,2.36,186468
GSIT,GSI Technology Inc.,2025-03-11,2.36,2.4289,2.3,2.37,125953
GSIT,GSI Technology Inc.,2025-03-12,2.39,2.48,2.36,2.41,101351
GSIT,GSI Technology Inc.,2025-03-13,2.44,2.47,2.37,2.39,135807
GSIT,GSI Technology Inc.,2025-03-14,2.44,2.615,2.44,2.6,117300
GSIT,GSI Technology Inc.,2025-03-17,2.6,2.76,2.6,2.68,122053
GSIT,GSI Technology Inc.,2025-03-18,2.65,2.67,2.55,2.56,47645
GSIT,GSI Technology Inc.,2025-03-19,2.56,2.68,2.56,2.67,52246
GSIT,GSI Technology Inc.,2025-03-20,2.6,2.64,2.48,2.51,105122
GSIT,GSI Technology Inc.,2025-03-21,2.47,2.5251,2.44,2.47,75072
GSIT,GSI Technology Inc.,2025-03-24,2.48,2.5364,2.43,2.48,128883
GSIT,GSI Technology Inc.,2025-03-25,2.5,2.5,2.36,2.37,124994
GSIT,GSI Technology Inc.,2025-03-26,2.37,2.4,2.25,2.25,99294
GSIT,GSI Technology Inc.,2025-03-27,2.26,2.28,2.17,2.19,140215
GSIT,GSI Technology Inc.,2025-03-28,2.21,2.21,2.03,2.14,168689
GSIT,GSI Technology Inc.,2025-03-31,2.05,2.09,1.9,2.03,144401
GSIT,GSI Technology Inc.,2025-04-01,2.05,2.13,2.0345,2.08,54427
GSIT,GSI Technology Inc.,2025-04-02,2.03,2.1831,2.03,2.1,82320
GSIT,GSI Technology Inc.,2025-04-03,1.98,2.0252,1.9,1.98,181499
GSIT,GSI Technology Inc.,2025-04-04,1.9,1.945,1.78,1.8,186021
GSIT,GSI Technology Inc.,2025-04-07,1.68,2.005,1.62,1.995,271194
GSIT,GSI Technology Inc.,2025-04-08,2.0,2.18,1.99,2.17,237011
GSIT,GSI Technology Inc.,2025-04-09,2.18,2.55,2.04,2.36,320019
GSIT,GSI Technology Inc.,2025-04-10,2.29,2.53,2.1901,2.505,248426
GSIT,GSI Technology Inc.,2025-04-11,2.54,2.6,2.38,2.6,244184
GSIT,GSI Technology Inc.,2025-04-14,2.66,2.8,2.5249,2.77,290861
GSIT,GSI Technology Inc.,2025-04-15,2.77,2.8464,2.735,2.81,166766
GSIT,GSI Technology Inc.,2025-04-16,2.77,2.8395,2.65,2.74,152449
GSIT,GSI Technology Inc.,2025-04-17,2.74,2.74,2.5809,2.61,95749
GSIT,GSI Technology Inc.,2025-04-21,2.59,2.67,2.5,2.59,177274
GSIT,GSI Technology Inc.,2025-04-22,2.58,2.75,2.58,2.62,144158
GSIT,GSI Technology Inc.,2025-04-23,2.7,2.76,2.6645,2.74,71122
GSIT,GSI Technology Inc.,2025-04-24,2.74,3.0369,2.6666,3.0,253733
GSIT,GSI Technology Inc.,2025-04-25,2.98,3.05,2.85,2.87,196041
GSIT,GSI Technology Inc.,2025-04-28,2.84,2.99,2.84,2.94,113185
GSIT,GSI Technology Inc.,2025-04-29,2.94,3.105,2.91,3.06,306944
GSIT,GSI Technology Inc.,2025-04-30,2.99,3.25,2.9295,3.22,297438
GSIT,GSI Technology Inc.,2025-05-01,3.3,3.32,3.06,3.14,277266
GSIT,GSI Technology Inc.,2025-05-02,3.22,3.37,2.93,3.35,418936
GSIT,GSI Technology Inc.,2025-05-05,3.33,3.95,3.21,3.68,841019
GSIT,GSI Technology Inc.,2025-05-06,3.59,3.59,3.33,3.4,317622
GSIT,GSI Technology Inc.,2025-05-07,3.36,3.579,3.3,3.48,401135
GSIT,GSI Technology Inc.,2025-05-08,3.58,3.6392,3.33,3.47,320302
GSIT,GSI Technology Inc.,2025-05-09,3.53,3.57,3.36,3.45,248436
GSIT,GSI Technology Inc.,2025-05-12,3.6,3.645,3.44,3.53,515264
GSIT,GSI Technology Inc.,2025-05-13,3.55,3.58,3.42,3.53,260969
GSIT,GSI Technology Inc.,2025-05-14,3.51,3.575,3.3775,3.45,150412
GSIT,GSI Technology Inc.,2025-05-15,3.4,3.45,3.31,3.38,141096
GSIT,GSI Technology Inc.,2025-05-16,3.39,3.47,3.33,3.39,340903
GSIT,GSI Technology Inc.,2025-05-19,3.34,3.35,3.2,3.27,254778
GSIT,GSI Technology Inc.,2025-05-20,3.27,3.2925,3.11,3.25,339816
GSIT,GSI Technology Inc.,2025-05-21,3.2,3.34,3.17,3.225,459939
GSIT,GSI Technology Inc.,2025-05-22,3.22,3.3276,3.15,3.21,594982
GSIT,GSI Technology Inc.,2025-05-23,3.15,3.2799,3.11,3.25,402920
GSIT,GSI Technology Inc.,2025-05-27,3.29,3.3362,3.2,3.3,395014
GSIT,GSI Technology Inc.,2025-05-28,3.3,3.3,3.19,3.23,355350
GSIT,GSI Technology Inc.,2025-05-29,3.29,3.29,3.15,3.19,244250
GSIT,GSI Technology Inc.,2025-05-30,3.15,3.1899,3.08,3.13,356309
GSIT,GSI Technology Inc.,2025-06-02,3.14,3.175,3.11,3.145,166898
GSIT,GSI Technology Inc.,2025-06-03,3.14,3.35,3.12475,3.28,373789
GSIT,GSI Technology Inc.,2025-06-04,3.27,3.44,3.22,3.39,993284
GSIT,GSI Technology Inc.,2025-06-05,3.4,3.4,3.29,3.33,363247
GSIT,GSI Technology Inc.,2025-06-06,3.35,3.46,3.31,3.36,264966
GSIT,GSI Technology Inc.,2025-06-09,3.33,3.34,3.23,3.25,192583
GSIT,GSI Technology Inc.,2025-06-10,3.24,3.2916,3.195,3.22,184910
GSIT,GSI Technology Inc.,2025-06-11,3.21,3.3368,3.18,3.21,220283
GSIT,GSI Technology Inc.,2025-06-12,3.19,3.25,3.17,3.19,145507
GSIT,GSI Technology Inc.,2025-06-13,3.12,3.15,2.94,2.97,479379
GSIT,GSI Technology Inc.,2025-06-16,2.98,3.22,2.96,3.19,131248
GSIT,GSI Technology Inc.,2025-06-17,3.18,3.32,3.17,3.19,191916
GSIT,GSI Technology Inc.,2025-06-18,3.15,3.2499,3.135,3.17,82251
GSIT,GSI Technology Inc.,2025-06-20,3.2,3.25,3.08,3.08,70933
GSIT,GSI Technology Inc.,2025-06-23,3.05,3.275,3.05,3.25,200310
GSIT,GSI Technology Inc.,2025-06-24,3.26,3.44,3.23,3.37,227972
GSIT,GSI Technology Inc.,2025-06-25,3.38,3.4,3.32,3.33,131632
GSIT,GSI Technology Inc.,2025-06-26,3.31,3.5,3.3,3.47,360169
GSIT,GSI Technology Inc.,2025-06-27,3.5,3.6,3.375,3.43,388056
GSIT,GSI Technology Inc.,2025-06-30,3.47,3.5186,3.34,3.36,133862
GSIT,GSI Technology Inc.,2025-07-01,3.34,3.45,3.26,3.45,136460
GSIT,GSI Technology Inc.,2025-07-02,3.44,3.48,3.4,3.44,200996
GSIT,GSI Technology Inc.,2025-07-03,3.45,3.55,3.4,3.54,289599
GSIT,GSI Technology Inc.,2025-07-07,3.52,4.11,3.51,4.1,956196
GSIT,GSI Technology Inc.,2025-07-08,4.12,4.3,3.93,4.22,447103
GSIT,GSI Technology Inc.,2025-07-09,4.23,4.55,4.15,4.52,388583
GSIT,GSI Technology Inc.,2025-07-10,4.5,4.6501,4.3801,4.54,362678
GSIT,GSI Technology Inc.,2025-07-11,4.52,4.8,4.4501,4.62,348228
GSIT,GSI Technology Inc.,2025-07-14,4.55,4.74,4.36,4.57,279662
GSIT,GSI Technology Inc.,2025-07-15,4.64,4.9999,4.6255,4.98,450746
GSIT,GSI Technology Inc.,2025-07-16,4.93,5.15,4.74,5.12,407847
GSIT,GSI Technology Inc.,2025-07-17,5.12,5.43,5.0904,5.35,563886
GSIT,GSI Technology Inc.,2025-07-18,5.37,5.7899,5.27,5.74,747215
GSIT,GSI Technology Inc.,2025-07-21,5.75,5.89,5.47,5.49,641970
GSIT,GSI Technology Inc.,2025-07-22,5.5,5.5,5.08,5.39,615300
GSIT,GSI Technology Inc.,2025-07-23,5.37,5.37,5.11,5.15,205751
GSIT,GSI Technology Inc.,2025-07-24,5.15,5.25,4.85,4.86,281272
GSIT,GSI Technology Inc.,2025-07-25,4.75,4.795,4.56,4.69,382951
GSIT,GSI Technology Inc.,2025-07-28,4.76,4.82,4.53,4.58,243707
GSIT,GSI Technology Inc.,2025-07-29,4.58,4.61,4.27,4.34,302318
GSIT,GSI Technology Inc.,2025-07-30,4.36,4.6,4.34,4.35,303315
GSIT,GSI Technology Inc.,2025-07-31,4.37,4.4721,4.26,4.35,240797
GSIT,GSI Technology Inc.,2025-08-01,4.24,4.26,3.7,3.75,446292
GSIT,GSI Technology Inc.,2025-08-04,3.8,3.99,3.795,3.96,180892
GSIT,GSI Technology Inc.,2025-08-05,3.98,3.98,3.54,3.55,311601
GSIT,GSI Technology Inc.,2025-08-06,3.54,3.595,3.435,3.5,271711
GSIT,GSI Technology Inc.,2025-08-07,3.45,3.49,3.28,3.31,254598
GSIT,GSI Technology Inc.,2025-08-08,3.34,3.365,3.25,3.3,278449
GSIT,GSI Technology Inc.,2025-08-11,3.3,3.4198,3.115,3.13,495375
GSIT,GSI Technology Inc.,2025-08-12,3.12,3.32,3.06,3.29,394748
GSIT,GSI Technology Inc.,2025-08-13,3.32,3.32,3.18,3.2,179893
GSIT,GSI Technology Inc.,2025-08-14,3.18,3.18,3.045,3.14,242478
GSIT,GSI Technology Inc.,2025-08-15,3.28,3.31,3.12,3.19,429967
GSIT,GSI Technology Inc.,2025-08-18,3.12,3.25,3.12,3.15,287142
GSIT,GSI Technology Inc.,2025-08-19,3.15,3.36,3.0935,3.14,283311
GSIT,GSI Technology Inc.,2025-08-20,3.14,3.1401,2.96,3.04,253445
GSIT,GSI Technology Inc.,2025-08-21,3.0,3.0599,2.98,3.04,139748
GSIT,GSI Technology Inc.,2025-08-22,3.06,3.16,3.0,3.11,210814
GSIT,GSI Technology Inc.,2025-08-25,3.15,3.15,3.0,3.02,171899
GSIT,GSI Technology Inc.,2025-08-26,3.0,3.21,3.0,3.2,321780
GSIT,GSI Technology Inc.,2025-08-27,3.22,3.2404,3.01,3.01,216721
GSIT,GSI Technology Inc.,2025-08-28,3.05,3.12,3.04,3.08,173877
GSIT,GSI Technology Inc.,2025-08-29,3.09,3.09,2.8614,2.94,232478
GSIT,GSI Technology Inc.,2025-09-02,2.87,2.99,2.87,2.93,139018
GSIT,GSI Technology Inc.,2025-09-03,2.94,2.98,2.845,2.91,156479
GSIT,GSI Technology Inc.,2025-09-04,2.91,2.93,2.82,2.93,73995
GSIT,GSI Technology Inc.,2025-09-05,2.97,3.0,2.8602,2.93,65492
GSIT,GSI Technology Inc.,2025-09-08,2.92,2.96,2.89,2.94,134190
GSIT,GSI Technology Inc.,2025-09-09,2.93,3.06,2.92,3.05,105371
GSIT,GSI Technology Inc.,2025-09-10,3.1,3.11,2.97,3.01,155424
GSIT,GSI Technology Inc.,2025-09-11,3.01,3.325,3.01,3.32,146387
GSIT,GSI Technology Inc.,2025-09-12,3.33,3.39,3.2357,3.37,124450
GSIT,GSI Technology Inc.,2025-09-15,3.38,3.47,3.38,3.42,152352
GSIT,GSI Technology Inc.,2025-09-16,3.43,3.4699,3.2328,3.39,81043
GSIT,GSI Technology Inc.,2025-09-17,3.4,3.48,3.32,3.41,143298
GSIT,GSI Technology Inc.,2025-09-18,3.45,3.69,3.45,3.68,168734
GSIT,GSI Technology Inc.,2025-09-19,3.74,3.75,3.59,3.66,254999
GSIT,GSI Technology Inc.,2025-09-22,3.67,3.855,3.65,3.82,171142
GSIT,GSI Technology Inc.,2025-09-23,3.87,3.99,3.73,3.96,278087
GSIT,GSI Technology Inc.,2025-09-24,3.92,4.13,3.92,4.01,170255
GSIT,GSI Technology Inc.,2025-09-25,3.96,3.96,3.7401,3.81,205943
GSIT,GSI Technology Inc.,2025-09-26,3.82,3.925,3.7777,3.84,65294
GSIT,GSI Technology Inc.,2025-09-29,3.85,3.9151,3.5704,3.72,237011
GSIT,GSI Technology Inc.,2025-09-30,3.72,3.7458,3.59,3.68,85368
GSIT,GSI Technology Inc.,2025-10-01,3.75,4.05,3.695,4.03,160605
GSIT,GSI Technology Inc.,2025-10-02,4.1,4.3107,4.01,4.17,219884
GSIT,GSI Technology Inc.,2025-10-03,4.19,4.97,4.05,4.91,806051
